tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
67,1,NORTH,-1.0,174.5,197.0,8,0,7,0,1,0,-5,1,1,20,366,1.3013,8006958975291001842926810991174327030410422896179770556416.000|3771049274493727134332241759991591417705943792081707204608.000|2802140864851074510451070884607114308104145132130515550208.000|9311938473693378936707327704209121145165482553600970326016.000|4059563013229874090682912937843250244261727856883637682176.000|2578522127212186506700305025472810622894708514457240207360.000
68,1,NORTH,-1.0,173.5,196.0,8,0,6,0,0,0,-4,1,2,20,367,1.3159,129925042829451140323591737855611231220196059164758387982336.000|63332175576328566134837060405723252627662575301454421032960.000|69338958729364779279188849507298357993559509881554894585856.000|152680437837168516938000688490088594570007653571662759067648.000|54464212185526773244025116609255876585674378441660043362304.000|63220410799122018424359211800308751664650569084709118148608.000
69,3,WEST,-1.0,172.5,195.0,8,0,5,0,0,0,-3,1,3,20,368,1.3305,1883851845145622925342431088377427144061100571524025773195264.000|756839925594354838463812248739763607575946423024529298161664.000|1678362274972980903727294122556778139713285268375803720105984.000|2279091361393914451350211055780989320892183056178142603378688.000|917159045865942721215044398463551082901314153107619022110720.000|1330955896979641807424694046027688761888254977519093995798528.000
70,1,NORTH,-1.0,171.5,194.0,8,0,5,0,0,0,-3,1,3,20,369,1.3451,21315775362326197684564795034925435718012485924776107797643264.000|3294224558260421120407959739430401934917217451012842244276224.000|32744420911974542141708014476815282223227528035004815794765824.000|32817795275932162774637213199748911732085198908764067056320512.000|12727671644269614340224763677301908898344150677207576330895360.000|20824475184866546008665115042684603259401984548315915431706624.000
71,1,NORTH,-1.0,170.5,193.0,8,0,4,0,0,0,-2,1,4,20,370,1.3597,199276363799202339813891036387192288197838320643558209377796096.000|60057848160340883435504838308897942290391390918958176157040640.000|529786560449369639229175913606173653637919462102009695571017728.000|440463913047315094977772552977768752212572795817132701830348800.000|185541470737063183521983972485515650235337854090485395712114688.000|312556015140189171478725660298981889884446492930509971463864320.000
72,2,SOUTH,-1.0,169.5,192.0,8,0,3,1,0,0,-1,3,-2,20,371,1.3743,3732865242949465096703451844984251106086078676413080914716786688.000|3096415117065835390304629710661784304744451096006650965677572096.000|7190244744433722626908051492452611039368495432329359114106830848.000|6794501807395464599992467082397180384838525959855669800305950720.000|3801424283688925578408274293729069506930938153768011124929724416.000|4267870977660810653650885147852832514189000869000964439680221184.000
73,1,NORTH,-1.0,168.5,191.0,8,0,4,0,0,0,-2,1,4,20,371,1.3889,130184437860637290865006978493806585899215331022092921564123103232.000|102147812550778463462292039561936741844812858219776146842306215936.000|91775364970382680421866245138659827166269256831993270396098969600.000|123162555545279020692840294196826085035604196406798736164342726656.000|55519914888784928087875300742373988896793136261996663805529030656.000|80139228520323534968165852320055068224009856283248864290297348096.000
74,0,STAY,-0.5,168.0,190.5,8,0,3,1,0,0,-1,3,-2,20,371,1.4032,2929832591397312033183991887073658294116491153667166263210848288768.000|2053025297030234287326186204445718606480884838472887452024908546048.000|1800660409299241290148946028804154536314728992355818042079037095936.000|2444583080603247744669436478258459025635598835748052878357279277056.000|813319838607639896577597285927022024169457321991768884922055393280.000|2140524528497052386633594504108970650781105782756065095857102389248.000
75,1,NORTH,-1.0,167.0,189.5,8,0,3,1,0,0,-1,3,-2,20,371,1.4178,54600599388201355913496850933469581871563259724098790798185172303872.000|34047844013825528630783649767945954207996013918953266004178059132928.000|49143389068430090687369301317852061933018973671939179440383583059968.000|47636844789782089840040424716236239523527771867096172137118210981888.000|10325665503688551244399057515370370682508363667788284671821973815296.000|51084193770759197036740464819640705298805893590195123974298729971712.000
76,5,EAT,18.0,185.0,200.0,9,0,2,1,0,0,0,3,-1,20,371,1.421,981404697959815648623345062475447778764750943307236800185431096295424.000|636949354521201140335738804382815849978243790065996735022052851843072.000|1253254880502781949898337740319000827746692904687733442019519025381376.000|827581507061428405429115631056203400542222377910115461436338325159936.000|98078888278430914153466420746948223868421374771524232781790642700288.000|1040827008148766271859075495957841594187909292379788398454630084771840.000
