tick,action,action_name,reward,total_reward,energy,food_eaten,pos_x,pos_y,local_food_count,local_poison_count,nearest_food_dx,nearest_food_dy,nearest_poison_dx,nearest_poison_dy,network_active_nodes,network_connections,network_avg_threshold,last_output_activations
75,4,EAST,-1.0,116.0,194.0,7,12,5,1,0,2,0,4,0,20,377,1.4533,77058362390636013182343947664188771506917281343209016695353084215296.000|76888654428148848472382141140126559435135435960599576469517560184832.000|53039970487750503728256295763415959426259520545004626802923775459328.000|178504336063829369176947785019702453499269784755115671213720792465408.000|126376276340377864965885407640964144769612141237370624286357389836288.000|228095215453378699477707063920729107957946083562996119943637205254144.000
76,4,EAST,-1.0,115.0,193.0,7,13,5,2,0,1,0,3,0,20,378,1.4679,1245593298921020031343370353574235063150610514028162021094157006667776.000|1128614849797728088335577412573021928143231390482140895331566577778688.000|670852254686512058487311173540122058238498087002096608124681270067200.000|2529105863387115000769074649049553322809868393072421247833975661002752.000|1956658789681421498044532807778195776344434926036920374749260167512064.000|3517797220570338361081598676460840857475665039612454380793123299131392.000
77,5,EAT,27.0,142.0,200.0,8,14,5,3,0,0,0,2,0,20,377,1.4657,20530438883907942747997938383436482885167257130093529569266161590206464.000|14687627967097073577158114756578498942956996683512920571803199667699712.000|8594923735961728855898570570233663762862226635217049905936251658174464.000|36710171020846723328221225703019277945516792378041097682504304199467008.000|31185384339166589399000845625111064293123058892977332767927044245815296.000|51843345461887816614824356817828237104575669539390601416363376126197760.000
78,4,EAST,-1.0,141.0,199.0,8,14,5,2,0,1,-1,2,0,20,377,1.4803,392181659597071542127993774859409867969007213989753038532706423889985536.000|177500434862252348950554813199435539086887346943343032768982594441183232.000|145877017278639773907723289041910387216067681512945391359819555178283008.000|531712224927649810805071975377309814640878220984508149211400111732555776.000|489361778384233169276387075333260293353429294127041836401949720547688448.000|749349673107938853256788845425822617977355515415787429768515015116062720.000
79,5,EAT,-2.0,139.0,197.0,8,15,5,1,1,0,-1,1,0,20,377,1.4955,6893002931965192224301276700575402456198166876534151330964966016381091840.000|2529782267922036704903237100043687739045567977427446695724511607920787456.000|2993577079720106948888779848387251453889880335740704644883382326643392512.000|8859898507083232417776081373047171916440151049974523394815390555423375360.000|7942565085939661248406907982889108334117798167793412406896880609864450048.000|10465333620804939378075524111292960218005676531874198021364423479091265536.000
80,1,NORTH,-1.0,138.0,196.0,8,15,5,1,1,0,-1,1,0,20,377,1.5101,125036161967862076249287272343607038425994018196685697809055697079898210304.000|31949018083133145609231669257628921937196211651198115108211424932560633856.000|75577584257325864278257028102930070206968907474704597454257804775910277120.000|156628495528326487824132417828631198721864590367663393484509832721507287040.000|112799706646609733496077494095094976018244325808297260315446231312218718208.000|153338681171572292618476386242325953067540378584184348547045285307244085248.000
81,5,EAT,23.0,161.0,200.0,9,15,4,3,1,0,0,1,1,20,377,1.5103,1751988327585272860432790546122057883447759173539214794143190238243607019520.000|814907884269003230887526098114032270723753154277664660237973748143263580160.000|1472595742035537170475507697227493357824053323133430463080471805474646261760.000|2797583844511718828013817938359851210827460361807092937109369039964346515456.000|1629706753486863414003814292132059068836325937754065507023851421039373320192.000|2466561975642736817520169857313678050300822625431302531153251295115167662080.000
82,5,EAT,-2.0,159.0,198.0,9,15,4,2,1,0,-1,1,1,20,377,1.5255,21501316961267755410353344266555985865437209064217417509679420143001522929664.000|15947136727370353755043897634168825937843585685880991361483660432573804314624.000|25463420767908156040060442241062191964963555542953686219654542980014789361664.000|43748952269642084080770968678283956026727693230430505833047429349545718317056.000|18373704953577904634431219158173746926415619412840202429044615758474142285824.000|45599959051121187439922475612300511715598545698181569650915842270308555816960.000
83,5,EAT,-2.0,157.0,196.0,9,15,4,2,1,0,-1,1,1,20,377,1.5407,228669140222502993257175063377084062644485502233290169019185825224700444278784.000|371362893768670181538763343268886720692362136218018671609511109791881596239872.000|343663687158824229535412490191093970065955697643410481745324755710814929813504.000|608621975452239917914902697274850971512471932398250330351514463165055842123776.000|325937154946823236276527835409067189633256267212027551451923682410651734507520.000|881983419856111648776263837148683080699393459773539770934456362837495527768064.000
84,1,NORTH,-1.0,156.0,195.0,9,15,4,2,1,0,-1,1,1,20,377,1.5553,6093005201953228176006024342153789819815460815887376151618775925563512489771008.000|5567935685040579925112692480546607666395772392055709595699346671300817440473088.000|5149684300977469792221960424812623509546665786816954202439647446254633613262848.000|8784728589638043066870945987760239981234825434705148513332265127349177662046208.000|5480064727416108078015396884071042571201247663469923924384500150209816674959360.000|14699988499997430079925240657822218326428365711102210062194187935169150403477504.000
